item_number,item_name,unit,quantity,price,item_description,num_images,num_videos,auction_type
170,CHANEL衣服,件,1,"20,000",尺寸34,1,0,變賣
171,CHANEL衣服,件,1,"8,000",尺寸34,1,0,變賣
172,CHANEL衣服,件,1,"18,000",尺寸36,1,0,變賣
173,CHANEL衣服,件,1,"20,000",尺寸34,1,0,變賣
174,CHANEL衣服,件,1,"18,000",尺寸36,1,0,變賣
175,CHANEL衣服,件,1,"80,000",尺寸36,1,0,變賣
176,CHANEL衣服,件,1,"80,000",尺寸36,1,0,變賣
177,CHANEL衣服,件,1,"100,000",尺寸38,1,0,變賣
178,CHANEL衣服,件,1,"30,000",尺寸34,1,0,變賣
179,CHANEL衣服,件,1,"50,000",尺寸34,1,0,變賣
180,CHANEL衣服,件,1,"30,000",尺寸34,1,0,變賣
181,CHANEL衣服,件,1,"40,000",尺寸38,1,0,變賣
182,CHANEL衣服,件,1,"100,000",尺寸36,1,0,變賣
183,CHANEL衣服,件,1,"20,000",尺寸38,1,0,變賣
184,CHANEL衣服,件,1,"120,000",尺寸38,1,0,變賣
185,CHANEL衣服,件,1,"20,000",尺寸34,1,0,變賣
186,CHANEL衣服,件,1,"15,000",尺寸不詳,1,0,變賣
187,CHANEL衣服,件,1,"20,000",尺寸36,1,0,變賣
188,CHANEL衣服,件,1,"18,000",尺寸36,1,0,變賣
189,CHANEL衣服,件,1,"80,000",尺寸34,1,0,變賣
297,CHRISTIAN DIOR耳環,副,1,"8,000",,1,0,變賣
298,CHRISTIAN DIOR耳環,副,1,"8,000",,1,0,變賣
299,CHARLOTTE OLYMPIA耳環,副,1,"2,000",,1,0,變賣
300,CHRISTIAN DIOR耳環,副,1,"9,000",,1,0,變賣
301,CHRISTIAN DIOR耳環,副,1,"5,000",,1,0,變賣
302,CHRISTIAN DIOR耳環,副,1,"5,000",,1,0,變賣
303,CHRISTIAN DIOR耳環,副,1,"5,000",,1,0,變賣
304,CHRISTIAN DIOR耳環,副,1,"5,000",,1,0,變賣
305,CHRISTIAN DIOR耳環,副,1,"5,000",,1,0,變賣
306,CHRISTIAN DIOR耳環,副,1,"5,000",,1,0,變賣
307,(品牌未知)耳環,副,1,"9,000",,1,0,變賣
308,CHANEL耳環,副,1,"3,000",,1,0,變賣
309,CHRISTIAN DIOR耳環,副,1,"5,000",,1,0,變賣
310,CHRISTIAN DIOR耳環,副,1,"4,000",,1,0,變賣
311,CHANEL耳環,副,1,"5,000",,1,0,變賣
312,CHRISTIAN DIOR耳環,副,1,"3,000",,1,0,變賣
313,HERMES耳環,副,1,"6,000",,1,0,變賣
314,CHANEL耳環,副,1,"4,000",,1,0,變賣
315,CHRISTIAN DIOR耳環,副,1,"4,500",,1,0,變賣
316,CHRISTIAN DIOR耳環,副,1,"3,500",,1,0,變賣
317,CHRISTIAN DIOR耳環,副,1,"7,000",,1,0,變賣
318,CHRISTIAN DIOR耳環,副,1,"4,500",,1,0,變賣
319,CHRISTIAN DIOR耳環,副,1,"4,500",,1,0,變賣
320,CHANEL耳環,副,1,"5,000",,1,0,變賣
321,CHANEL耳環,副,1,"4,000",,1,0,變賣
322,CHANEL耳環,副,1,"3,000",,1,0,變賣
323,CHRISTIAN DIOR耳環,副,1,"4,000",,1,0,變賣
324,(品牌未知)耳環,副,1,"3,500",有「ITALY」字樣,1,0,變賣
325,CHRISTIAN DIOR耳環,副,1,"4,500",,1,0,變賣
326,CHANEL耳環,副,1,"6,000",,1,0,變賣
327,CHRISTIAN DIOR耳環,副,1,"4,500",,1,0,變賣
328,CHANEL耳環,副,1,"4,000",,1,0,變賣
329,CHRISTIAN DIOR耳環,副,1,"4,500",,1,0,變賣
330,HERMES耳環,副,1,"7,000",,1,0,變賣
331,CHRISTIAN DIOR耳環,副,1,"4,800",,1,0,變賣
332,CHANEL耳環,副,1,"5,000",,1,0,變賣
333,CHRISTIAN DIOR耳環,副,1,"4,500",,1,0,變賣
334,CHANEL耳環,副,1,"5,000",,1,0,變賣
335,CHRISTIAN DIOR耳環,副,1,"4,000",,1,0,變賣
336,TIFFANY耳環,副,1,"50,000",,1,0,變賣
337,CHRISTIAN DIOR耳環,副,1,"4,500",,1,0,變賣
338,MIKIMOTO耳環,副,1,"12,000",,1,0,變賣
339,CHRISTIAN DIOR耳環,副,1,"4,500",,1,0,變賣
340,CHANEL耳環,副,1,"8,000",,1,0,變賣
341,CHRISTIAN DIOR耳環,副,1,"4,000",,1,0,變賣
342,CHANEL耳環,副,1,"5,000",,1,0,變賣
343,CHRISTIAN DIOR耳環,副,1,"4,000",,1,0,變賣
344,CHANEL耳環,個,3,"7,000",,1,0,變賣
345,CHANEL耳環,個,3,"6,000",,1,0,變賣
346,(品牌未知)耳環,個,1,"1,000",有「ITALY」字樣,1,0,變賣
