item_number,item_name,unit,quantity,price,item_description,num_images,num_videos,auction_type
1,LOUIS VUITTON¾c,Âù,1,"2,500",¤Ø¤o36,1,0,ÅÜ½æ
2,LOUIS VUITTON¾c,Âù,1,"1,000",¤Ø¤o36,1,0,ÅÜ½æ
4,LOUIS VUITTON¾c,Âù,1,"3,000",¤Ø¤o37,1,0,ÅÜ½æ
8,LOUIS VUITTON¾c,Âù,1,"1,500",¤Ø¤o37,1,0,ÅÜ½æ
9,LOUIS VUITTON¾c,Âù,1,"2,500",¤Ø¤o36,1,0,ÅÜ½æ
10,LOUIS VUITTON¾c,Âù,1,"1,500",¤Ø¤o36¥b,1,0,ÅÜ½æ
13,LOUIS VUITTON¾c,Âù,1,"1,000",¤Ø¤o36,1,0,ÅÜ½æ
15,LOUIS VUITTON¾c,Âù,1,"2,000",¤Ø¤o36,1,0,ÅÜ½æ
16,LOUIS VUITTON¾c,Âù,1,"2,000",¤Ø¤o36,1,0,ÅÜ½æ
17,LOUIS VUITTON¾c,Âù,1,"4,000",¤Ø¤o36,1,0,ÅÜ½æ
23,LOUIS VUITTON¾c,Âù,1,"1,500",¤Ø¤o35¥b,1,0,ÅÜ½æ
25,LOUIS VUITTON¾c,Âù,1,"2,500",¤Ø¤o37¥b,1,0,ÅÜ½æ
26,LOUIS VUITTON¾c,Âù,1,"1,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
29,LOUIS VUITTON¾c,Âù,1,"2,000",¤Ø¤o36,1,0,ÅÜ½æ
30,LOUIS VUITTON¾c,Âù,1,"2,500",¤Ø¤o37,1,0,ÅÜ½æ
31,LOUIS VUITTON¾c,Âù,1,"5,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
33,CHANEL¾c,Âù,1,"5,000",¤Ø¤o36,1,0,ÅÜ½æ
35,CHANEL¾c,Âù,1,"2,500",¤Ø¤o36,1,0,ÅÜ½æ
36,CHANEL¾c,Âù,1,"5,000",¤Ø¤o36,1,0,ÅÜ½æ
39,CHANEL¾c,Âù,1,"1,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
46,CHANEL¾c,Âù,1,"3,000",¤Ø¤o36,1,0,ÅÜ½æ
49,CHANEL¾c,Âù,1,"3,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
