item_number,item_name,unit,quantity,price,item_description,num_images,num_videos,auction_type
1,LOUIS VUITTON¾c,Âù,1,"5,000",¤Ø¤o36,1,0,ÅÜ½æ
2,LOUIS VUITTON¾c,Âù,1,"2,000",¤Ø¤o36,1,0,ÅÜ½æ
3,LOUIS VUITTON¾c,Âù,1,"2,000",¤Ø¤o36,1,0,ÅÜ½æ
4,LOUIS VUITTON¾c,Âù,1,"6,000",¤Ø¤o37,1,0,ÅÜ½æ
5,LOUIS VUITTON¾c,Âù,1,"7,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
6,LOUIS VUITTON¾c,Âù,1,"4,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
7,LOUIS VUITTON¾c,Âù,1,"3,000",¤Ø¤o36,1,0,ÅÜ½æ
8,LOUIS VUITTON¾c,Âù,1,"3,000",¤Ø¤o37,1,0,ÅÜ½æ
9,LOUIS VUITTON¾c,Âù,1,"5,000",¤Ø¤o36,1,0,ÅÜ½æ
10,LOUIS VUITTON¾c,Âù,1,"3,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
11,LOUIS VUITTON¾c,Âù,1,"1,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
12,LOUIS VUITTON¾c,Âù,1,"6,000",¤Ø¤o35,1,0,ÅÜ½æ
13,LOUIS VUITTON¾c,Âù,1,"2,000",¤Ø¤o36,1,0,ÅÜ½æ
14,LOUIS VUITTON¾c,Âù,1,"3,000",¤Ø¤o9¸¹¥b,1,0,ÅÜ½æ
,,,,,(¦ü¬°¨k¾c),1,0,ÅÜ½æ
15,LOUIS VUITTON¾c,Âù,1,"4,000",¤Ø¤o36,1,0,ÅÜ½æ
16,LOUIS VUITTON¾c,Âù,1,"4,000",¤Ø¤o36,1,0,ÅÜ½æ
17,LOUIS VUITTON¾c,Âù,1,"8,000",¤Ø¤o36,1,0,ÅÜ½æ
18,LOUIS VUITTON¾c,Âù,1,"6,000",¤Ø¤o35,1,0,ÅÜ½æ
19,LOUIS VUITTON¾c,Âù,1,"4,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
20,LOUIS VUITTON¾c,Âù,1,"2,000",¤Ø¤o36,1,0,ÅÜ½æ
21,LOUIS VUITTON¾c,Âù,1,"3,000",¤Ø¤o36,1,0,ÅÜ½æ
22,LOUIS VUITTON¾c,Âù,1,"3,000",¤Ø¤o36,1,0,ÅÜ½æ
23,LOUIS VUITTON¾c,Âù,1,"3,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
24,LOUIS VUITTON¾c,Âù,1,"2,000",¤Ø¤o36,1,0,ÅÜ½æ
25,LOUIS VUITTON¾c,Âù,1,"5,000",¤Ø¤o37¥b,1,0,ÅÜ½æ
26,LOUIS VUITTON¾c,Âù,1,"2,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
27,LOUIS VUITTON¾c,Âù,1,"4,000",¤Ø¤o36,1,0,ÅÜ½æ
28,LOUIS VUITTON¾c,Âù,1,"3,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
29,LOUIS VUITTON¾c,Âù,1,"4,000",¤Ø¤o36,1,0,ÅÜ½æ
30,LOUIS VUITTON¾c,Âù,1,"5,000",¤Ø¤o37,1,0,ÅÜ½æ
31,LOUIS VUITTON¾c,Âù,1,"10,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
32,CHANEL¾c,Âù,1,"4,000",¤Ø¤o37,1,0,ÅÜ½æ
33,CHANEL¾c,Âù,1,"10,000",¤Ø¤o36,1,0,ÅÜ½æ
34,CHANEL¾c,Âù,1,"4,000",¤Ø¤o36,1,0,ÅÜ½æ
35,CHANEL¾c,Âù,1,"5,000",¤Ø¤o36,1,0,ÅÜ½æ
36,CHANEL¾c,Âù,1,"10,000",¤Ø¤o36,1,0,ÅÜ½æ
37,CHANEL¾c,Âù,1,"3,000",¤Ø¤o37¥b,1,0,ÅÜ½æ
38,CHANEL¾c,Âù,1,"4,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
39,CHANEL¾c,Âù,1,"2,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
40,CHANEL¾c,Âù,1,"4,000",¤Ø¤o37,1,0,ÅÜ½æ
41,CHANEL¾c,Âù,1,"2,000",¤Ø¤o37,1,0,ÅÜ½æ
42,CHANEL¾c,Âù,1,"3,000",¤Ø¤o37,1,0,ÅÜ½æ
43,CHANEL¾c,Âù,1,"3,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
44,CHANEL¾c,Âù,1,"1,000",¤Ø¤o36,1,0,ÅÜ½æ
45,CHANEL¾c,Âù,1,"1,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
46,CHANEL¾c,Âù,1,"6,000",¤Ø¤o36,1,0,ÅÜ½æ
47,CHANEL¾c,Âù,1,"1,000",¤Ø¤o36,1,0,ÅÜ½æ
48,CHANEL¾c,Âù,1,"2,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
49,CHANEL¾c,Âù,1,"6,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
50,CHANEL¾c,Âù,1,"5,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
51,CHANEL¾c,Âù,1,"3,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
52,CHANEL¾c,Âù,1,"10,000",¤Ø¤o36,1,0,ÅÜ½æ
53,CHANEL¾c,Âù,1,"3,000",¤Ø¤o36,1,0,ÅÜ½æ
54,CHANEL¾c,Âù,1,"6,000",¤Ø¤o36,1,0,ÅÜ½æ
55,CHANEL¾c,Âù,1,"5,000",¤Ø¤o36,1,0,ÅÜ½æ
56,CHANEL¾c,Âù,1,"8,000",¤Ø¤o38,1,0,ÅÜ½æ
57,CHANEL¾c,Âù,1,"6,000",¤Ø¤o38,1,0,ÅÜ½æ
58,CHANEL¾c,Âù,1,"10,000",¤Ø¤o36,1,0,ÅÜ½æ
59,AZZEDINE ALAIA¾c,Âù,1,"4,500",¤Ø¤o36¥b,1,0,ÅÜ½æ
60,AZZEDINE ALAIA¾c,Âù,1,"3,000",¤Ø¤o36,1,0,ÅÜ½æ
61,AZZEDINE ALAIA¾c,Âù,1,"3,000",¤Ø¤o36,1,0,ÅÜ½æ
62,AZZEDINE ALAIA¾c,Âù,1,"4,500",¤Ø¤o36,1,0,ÅÜ½æ
63,AZZEDINE ALAIA¾c,Âù,1,"3,000",¤Ø¤o36,1,0,ÅÜ½æ
64,AZZEDINE ALAIA¾c,Âù,1,"3,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
65,AZZEDINE ALAIA¾c,Âù,1,"3,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
66,AZZEDINE ALAIA¾c,Âù,1,"7,500",¤Ø¤o36,1,0,ÅÜ½æ
67,AZZEDINE ALAIA¾c,Âù,1,"6,000",¤Ø¤o36¥b,1,0,ÅÜ½æ
68,AZZEDINE ALAIA¾c,Âù,1,"4,500",¤Ø¤o35,1,0,ÅÜ½æ
69,AZZEDINE ALAIA¾c,Âù,1,"1,500",¤Ø¤o36,1,0,ÅÜ½æ
70,AZZEDINE ALAIA¾c,Âù,1,"3,000",¤Ø¤o36,1,0,ÅÜ½æ
71,AZZEDINE ALAIA¾c,Âù,1,"3,000",¤Ø¤o36,1,0,ÅÜ½æ
72,AZZEDINE ALAIA¾c,Âù,1,"3,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
73,ROGER VIVIER¾c,Âù,1,"9,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
74,ROGER VIVIER¾c,Âù,1,"7,500",¤Ø¤o35¥b,1,0,ÅÜ½æ
75,ROGER VIVIER¾c,Âù,1,"6,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
76,ROGER VIVIER¾c,Âù,1,"15,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
77,ROGER VIVIER¾c,Âù,1,"16,500",¤Ø¤o35¥b,1,0,ÅÜ½æ
78,ROGER VIVIER¾c,Âù,1,"18,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
79,ROGER VIVIER¾c,Âù,1,"18,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
80,ROGER VIVIER¾c,Âù,1,"12,000",¤Ø¤o36,1,0,ÅÜ½æ
81,ROGER VIVIER¾c,Âù,1,"15,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
82,CHARLOTTE OLYMPIA¾c,Âù,1,"13,500",¤Ø¤o37,1,0,ÅÜ½æ
83,CHARLOTTE OLYMPIA¾c,Âù,1,"10,500",¤Ø¤o36,1,0,ÅÜ½æ
84,CHARLOTTE OLYMPIA¾c,Âù,1,"12,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
85,CHARLOTTE OLYMPIA¾c,Âù,1,"3,000",¤Ø¤o35¥b,1,0,ÅÜ½æ
86,CHARLOTTE OLYMPIA¾c,Âù,1,"3,000",¤Ø¤o36,1,0,ÅÜ½æ
